created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-04-10 21:52:56 UTC,59,678.0,277.0,8642.0,0.19,25.15,58.9,-508.0,23.66
2018-04-10 22:02:58 UTC,60,592.0,259.0,7391.0,0.14,25.41,60.28,-508.0,23.71
2018-04-10 22:12:59 UTC,61,451.0,200.0,5607.0,0.14,24.55,61.71,-507.0,23.71
2018-04-10 22:23:00 UTC,62,517.0,220.0,6511.0,0.18,23.24,63.33,-508.0,23.71
2018-04-10 22:33:01 UTC,63,368.0,162.0,4585.0,0.11,23.53,64.35,-508.0,23.71
2018-04-10 22:43:02 UTC,64,219.0,97.0,2724.0,0.06,22.77,66.45,-508.0,23.66
2018-04-10 22:53:03 UTC,65,101.0,42.0,1281.0,0.02,23.2,65.29,-508.0,23.66
2018-04-10 23:03:03 UTC,66,37.0,18.0,446.0,0.02,22.25,68.15,-509.0,23.66
2018-04-10 23:13:03 UTC,67,7.0,4.0,79.0,-0.02,23.09,66.09,-508.0,23.66
2018-04-10 23:23:03 UTC,68,1.0,0.0,14.0,-0.02,23.8,64.15,-508.0,23.61
2018-04-10 23:33:03 UTC,69,0.0,0.0,0.0,-0.02,23.76,63.37,-509.0,23.61
2018-04-10 23:43:04 UTC,70,0.0,0.0,0.0,-0.02,23.68,62.89,-508.0,23.61
2018-04-10 23:53:04 UTC,71,0.0,0.0,0.0,-0.02,23.45,65.83,-509.0,23.55
2018-04-11 00:03:04 UTC,72,0.0,0.0,0.0,-0.02,23.62,64.97,-509.0,23.55
2018-04-11 00:13:09 UTC,73,0.0,0.0,0.0,-0.02,23.24,64.78,-509.0,23.5
2018-04-11 00:23:04 UTC,74,0.0,0.0,0.0,-0.02,22.86,65.56,-509.0,23.5
2018-04-11 00:33:04 UTC,75,0.0,0.0,0.0,-0.02,23.0,65.58,-509.0,23.5
2018-04-11 00:43:04 UTC,76,0.0,0.0,0.0,-0.02,22.37,67.45,-509.0,23.44
2018-04-11 00:53:04 UTC,77,0.0,0.0,0.0,-0.02,22.41,67.2,-509.0,23.44
2018-04-11 01:03:04 UTC,78,0.0,0.0,0.0,-0.02,22.67,66.13,-509.0,23.39
2018-04-11 01:13:04 UTC,79,0.0,0.0,0.0,-0.01,23.38,64.68,-509.0,23.39
2018-04-11 01:23:03 UTC,80,0.0,0.0,0.0,-0.02,23.42,65.03,-509.0,23.39
2018-04-11 01:33:03 UTC,81,0.0,0.0,0.0,-0.02,22.75,66.24,-509.0,23.34
2018-04-11 01:43:03 UTC,82,0.0,0.0,0.0,-0.02,22.71,66.62,-510.0,23.34
2018-04-11 01:53:03 UTC,83,0.0,0.0,0.0,-0.02,22.94,65.42,-510.0,23.34
2018-04-11 02:03:03 UTC,84,0.0,0.0,0.0,-0.02,22.88,65.17,-510.0,23.28
2018-04-11 02:13:03 UTC,85,0.0,0.0,0.0,-0.02,22.8,66.27,-510.0,23.28
2018-04-11 02:23:02 UTC,86,0.0,0.0,0.0,-0.02,22.59,67.17,-510.0,23.23
2018-04-11 02:33:02 UTC,87,0.0,0.0,0.0,-0.02,22.69,66.28,-510.0,23.23
2018-04-11 02:43:02 UTC,88,0.0,0.0,0.0,-0.04,22.66,66.31,-511.0,23.17
2018-04-11 02:53:01 UTC,89,0.0,0.0,0.0,-0.02,22.68,66.56,-510.0,23.17
2018-04-11 03:03:01 UTC,90,0.0,0.0,0.0,-0.02,22.77,66.26,-511.0,23.17
2018-04-11 03:13:01 UTC,91,0.0,0.0,0.0,-0.02,22.68,66.2,-511.0,23.17
2018-04-11 03:23:01 UTC,92,0.0,0.0,0.0,-0.02,22.96,64.97,-511.0,23.12
2018-04-11 03:33:01 UTC,93,0.0,0.0,0.0,-0.02,22.94,64.96,-511.0,23.12
2018-04-11 03:43:00 UTC,94,0.0,0.0,0.0,-0.02,22.68,65.07,-511.0,23.12
2018-04-11 03:53:00 UTC,95,0.0,0.0,0.0,0.02,22.28,66.39,-511.0,23.07
2018-04-11 04:03:00 UTC,96,0.0,0.0,0.0,-0.02,22.9,65.08,-511.0,23.07
2018-04-11 04:13:00 UTC,97,0.0,0.0,0.0,0.02,22.4,65.96,-511.0,23.07
2018-04-11 04:22:59 UTC,98,0.0,0.0,0.0,0.02,22.83,64.94,-511.0,23.07
2018-04-11 04:32:59 UTC,99,0.0,0.0,0.0,0.02,22.46,66.57,-512.0,23.01
2018-04-11 04:42:59 UTC,100,0.0,0.0,0.0,-0.02,22.37,67.15,-512.0,23.01
2018-04-11 04:52:58 UTC,101,0.0,0.0,0.0,0.02,22.34,66.76,-512.0,22.96
2018-04-11 05:02:58 UTC,102,0.0,0.0,0.0,0.02,22.17,66.76,-512.0,22.96
2018-04-11 05:12:58 UTC,103,0.0,0.0,0.0,0.02,22.48,66.13,-512.0,22.96
2018-04-11 05:22:57 UTC,104,0.0,0.0,0.0,0.02,22.13,67.17,-512.0,22.9
2018-04-11 05:32:57 UTC,105,0.0,0.0,0.0,0.02,21.96,67.76,-512.0,22.9
2018-04-11 05:42:57 UTC,106,0.0,0.0,0.0,0.02,22.12,67.51,-512.0,22.9
2018-04-11 05:52:56 UTC,107,0.0,0.0,0.0,0.02,22.44,66.05,-512.0,22.85
2018-04-11 06:02:56 UTC,108,0.0,0.0,0.0,0.02,22.56,65.26,-513.0,22.85
2018-04-11 06:12:55 UTC,109,0.0,0.0,0.0,0.01,22.31,66.72,-513.0,22.85
